Category,Project,Organisation,Country
C7. ICT APPLICATIONS: E-LEARNING,Tele-education in 1000 rural Government Schools,Indian Institute of Management Bangalore,INDIA
C7. ICT APPLICATIONS: E-LEARNING,etadrees,Central Agency for Information Technology,KUWAIT
C7. ICT APPLICATIONS: E-LEARNING,Ikraa,Ghinwa Jalloul,LEBANON
C7. ICT APPLICATIONS: E-LEARNING,UNIVERSITY PROGRAM 3.0 - THE IMPACT OF THE IMMERSIVE VIRTUAL REALITY AND THE INFORMATION TECHNOLOGIES ON EDUCATION AND MUSEUMS IN NORTHERN MEXICO.,UNIVERSIDAD AUTÃ“NOMA DE CHIHUAHUA,MEXICO
C7. ICT APPLICATIONS: E-LEARNING,Digital Inclusion and Literacy Pilot Program,Office for National Digital Strategy of the Mexican Presidency,MEXICO
C7. ICT APPLICATIONS: E-LEARNING,e-Marking,Ministry of Education,OMAN
C7. ICT APPLICATIONS: E-LEARNING,E-learning in prison,Instituto Piaget,PORTUGAL
C7. ICT APPLICATIONS: E-LEARNING,The training and communal e-learning project,Majmaah University,SAUDI ARABIA
C7. ICT APPLICATIONS: E-LEARNING,Learning Managment System,Saudi Electronic Univercity ,SAUDI ARABIA
C7. ICT APPLICATIONS: E-LEARNING,The National E-Training program,Human Resources Development Fund,SAUDI ARABIA
C7. ICT APPLICATIONS: E-LEARNING,GDCO Sudan Telecentres empowering e-Education,gedaref digital city organization,SUDAN
C7. ICT APPLICATIONS: E-LEARNING,ICT: E-learning,Lopburi Polytechnic College,THAILAND
C7. ICT APPLICATIONS: E-LEARNING,The Development of Computer Games in Order to Support Learning Skills in Basic Scientific Processing,kasetsart university,THAILAND
C7. ICT APPLICATIONS: E-LEARNING,ICT for physically and visually challenged students.,Ramkhamhaeng University,THAILAND
C7. ICT APPLICATIONS: E-LEARNING,ABNAEE & MALAFEE,MINISTRY OF EDUCATION,UNITED ARAB EMIRATES
C7. ICT APPLICATIONS: E-LEARNING,Plan Ceibal - Clases de InglÃ©s - Uruguay,Plan Ceibal - Centro Ceibal para el Apoyo a la EducaciÃ_n de la NiÃ±ez y la Adolescencia,URUGUAY
C7. ICT APPLICATIONS: E-LEARNING,adaptive curriculum for the computer department- Computer Faculty- Sana'a University translated into Electroinc sign language to serve for the deaf student,University Educational Center For The Deaf - Sana'a Uni,YEMEN
C7. ICT APPLICATIONS: E-HEALTH,Reuse And Mining Health 2.0 Resources,Abou Bekr Belkaid University of Tlemcen ,ALGERIA
C7. ICT APPLICATIONS: E-HEALTH,Development and installation of a Telemedicine Mobil Station,Facultad de Ciencias MÃ©dicas UNR- ÃÅrea de InformÃ¡tica MÃ©dica y Telemedicina,ARGENTINA
C7. ICT APPLICATIONS: E-HEALTH,Amader Daktar,mPower Social Enterprises Ltd.,BANGLADESH
C7. ICT APPLICATIONS: E-HEALTH,"mHealth, A Mobile Based Medical Counselling and Health Information Dissemination Service",Synesis IT Ltd.,BANGLADESH
C7. ICT APPLICATIONS: E-HEALTH,SILAB for Africa,"Istituto Zooprofilattico dell'Abruzzo e del Molise; ""G. Caporale""",ITALY
C7. ICT APPLICATIONS: E-HEALTH,Open Hospital - Free rural hospital management console,Informatici Senza Frontiere Onlus,ITALY
C7. ICT APPLICATIONS: E-HEALTH,Comprehensive healthcare System (Al-Shifa),Ministry of Health,OMAN
C7. ICT APPLICATIONS: E-HEALTH,e-Prevention in LAC,UNIVERSIDAD PERUANA CAYETANO HEREDIA INSTITUTO DE MEDICINA TROPICAL ALEXANDER VON HUMBOLDT,PERU
C7. ICT APPLICATIONS: E-HEALTH,National Telehealth Service Program,University of the Philippines Manila â€“ National Telehealth Center,PHILIPPINES
C7. ICT APPLICATIONS: E-HEALTH,RxBox 2 - Advancing Community Healthcare,University of the Philippines Manila â€“ National Telehealth Center,PHILIPPINES
C7. ICT APPLICATIONS: E-HEALTH,Electronic Integrated Disease Surveillance and Response,Ministry of Health,RWANDA
C7. ICT APPLICATIONS: E-HEALTH,"Online Toxicology Analysis Requests & Results System ""OTARR"" for Integrated Goverment",Ministry of Health,SAUDI ARABIA
C7. ICT APPLICATIONS: E-HEALTH,Patients Referral Program,Ministry Of Health,SAUDI ARABIA
C7. ICT APPLICATIONS: E-HEALTH,Gezira Family Medicine Project,Gezira Family Medicine Project,SUDAN
C7. ICT APPLICATIONS: E-HEALTH,Success Factors in the Adoption of Emergency Health Call Center,Graduate School of Management and Innovation (GMI); King Mongkut's University of Technology Thonburi (KMUTT) and TOT Public Company Limited,THAILAND
C7. ICT APPLICATIONS: E-HEALTH,"Health Information System for Ministry of Public Health, Thailand",Information Communication and Technology of Ministry of Public Health,THAILAND
C7. ICT APPLICATIONS: E-HEALTH,Licensing of Animals and Animal Products for movement within the Kingdom of Thailand (e-movement),Division of Veterinary Inspection and Quarantine (DQIV),THAILAND
C7. ICT APPLICATIONS: E-HEALTH,SenzE : Eye Controlled Communicative Assistive Device for Paralysis Patients,Meditech Solution Co,"Ltd., THAILAND"
C7. ICT APPLICATIONS: E-HEALTH,FAHAANDA - A Remote Neurological Analysis and Advisory System,Cognizant Technology Solutions,UNITED STATES OF AMERICA
C7. ICT APPLICATIONS: E-HEALTH,Mobile Health Information System,FHI 360,UNITED STATES OF AMERICA
C7. ICT APPLICATIONS: E-HEALTH,â€œInterconnection and Modernization Program of Register and Civil Identification for Physical people and Generation of Information for Vital Statistics in Uruguayâ€ù,State Evaluation and Management Area (AGEV) - Office of Planning and Budget â€“ Presidency of the Republi,URUGUAY
C7. ICT APPLICATIONS: E-EMPLOYMENT,Techno-links for Improved Access and Income,Foreign Affairs; Trade and Development Canada,CANADA
C7. ICT APPLICATIONS: E-EMPLOYMENT,Teletrabajo,Ministry of Information and Communication Technologies,COLOMBIA
C7. ICT APPLICATIONS: E-EMPLOYMENT,Swavlamban,Network for Information and Computer Technology (NICT),INDIA
C7. ICT APPLICATIONS: E-EMPLOYMENT,CENTRAL EMPLOYMENT SYSTEM,Central Agency for Information Technology,KUWAIT
C7. ICT APPLICATIONS: E-EMPLOYMENT,Employment Digital Service,Digital Government Unit of the Ministry of Public Administration,MEXICO
C7. ICT APPLICATIONS: E-EMPLOYMENT,Program of professional training of persons with acquired higher education,Ministry for Information Society and Telecommunications,MONTENEGRO (REPUBLIC OF)
C7. ICT APPLICATIONS: E-EMPLOYMENT,E-employment Collaboration,Ministry of Manpower,OMAN
C7. ICT APPLICATIONS: E-EMPLOYMENT,Electronic Advanced Services for Enterprises,Saudi Ministry of Labor (MOL),SAUDI ARABIA
C7. ICT APPLICATIONS: E-EMPLOYMENT,Telework,Ministry of Labor,SAUDI ARABIA
C7. ICT APPLICATIONS: E-EMPLOYMENT,Safeer Graduate,Ministry of Education,SAUDI ARABIA
C7. ICT APPLICATIONS: E-EMPLOYMENT,myKKU,King Khalid University (KKU)- IT Department ,SAUDI ARABIA
C7. ICT APPLICATIONS: E-EMPLOYMENT,Tamooha,ADCB,UNITED ARAB EMIRATES
C7. ICT APPLICATIONS: E-ENVIRONMENT,WINGO,LVSC MEDITERRANEE,ALGERIA
C7. ICT APPLICATIONS: E-ENVIRONMENT,Cross Border Implementation of Innovative Cost Cutting Technologies,"South-West University ""Neofit Rilski""",BULGARIA
C7. ICT APPLICATIONS: E-ENVIRONMENT,Kuwait Official Environmental Portal â€œBeatona.netâ€ù,Central Agency for Information Technology,KUWAIT
C7. ICT APPLICATIONS: E-ENVIRONMENT,Leveraging web and mobile platforms to broadcast disaster alerts.,National Digital Strategy,MEXICO
C7. ICT APPLICATIONS: E-ENVIRONMENT,Disaster Emergency System based a new approach of network of decision,Abdelmalek Essaadi University,MOROCCO
C7. ICT APPLICATIONS: E-ENVIRONMENT,Indoor Air Quality in Laboratories Project,Majmaah University,SAUDI ARABIA
C7. ICT APPLICATIONS: E-ENVIRONMENT,Thailand Best Practice: IT for Environmental Sustainable Development,Hydro and Agro Informatics Institute,THAILAND
C7. ICT APPLICATIONS: E-ENVIRONMENT,My Garden My City,ENVIRONMENT AGENCY OF ABU DHABI,UNITED ARAB EMIRATES
C7. ICT APPLICATIONS: E-ENVIRONMENT,WATER NETWORK MANAGEMENT SYSTEM,ENVIRONMENT AGENCY OF ABU DHABI & ABU DHABI WATER AND ELECTRICITY AUTHORITY ,UNITED ARAB EMIRATES
C7. ICT APPLICATIONS: E-AGRICULTURE,Free farm management tool.,Tambero.com,ARGENTINA
C7. ICT APPLICATIONS: E-AGRICULTURE,Farmer Query System - A Smartphone Application Based Agro-Advisory Service,mPower Social Enterprises Ltd.,BANGLADESH
C7. ICT APPLICATIONS: E-AGRICULTURE,Krishi Tathyo Service 27676 ( Agri Helpline),Win Miaki Ltd.,BANGLADESH
C7. ICT APPLICATIONS: E-AGRICULTURE,Market information for african producers,RONGEAD,FRANCE
C7. ICT APPLICATIONS: E-AGRICULTURE,GreenSky India,GreenSky India,INDIA
C7. ICT APPLICATIONS: E-AGRICULTURE,eLocust3: real time locust data from desert to decision-makers,Food and Agriculture Organization of the United Nations (FAO),ITALY
C7. ICT APPLICATIONS: E-AGRICULTURE,Krishi Ghar,ICT in Agriculture Nepal,NEPAL (REPUBLIC OF)
C7. ICT APPLICATIONS: E-AGRICULTURE,"Agriculture, Rural Development and Youth in the Information Society (ARDYIS) Programme",Technical Centre for Agricultural and Rural Cooperation (CTA),NETHERLANDS
C7. ICT APPLICATIONS: E-AGRICULTURE,Smart Accountability in Rwandan Coffee Sector,SNV â€“ Netherlands Development Organisation,RWANDA
C7. ICT APPLICATIONS: E-AGRICULTURE,GDCO Sudan Telecentres empowering e-Agriculture,gedaref digital city organization,SUDAN
C7. ICT APPLICATIONS: E-AGRICULTURE,Agro Informatics for Community-Based Climate Change Adaptation,à__Utokapat Foundation under H.M. the King's Patronage,THAILAND
C7. ICT APPLICATIONS: E-AGRICULTURE,The Royal Rainmaking Application FONLUANG,Ministry of Agriculture and Cooperatives.,THAILAND
C7. ICT APPLICATIONS: E-AGRICULTURE,Database System Development for Comprehensive Management of Dairy Cows,Bureau of Biotechnology in Livestock Production; Department of Livestock Development; Ministry of Agriculture and Cooperation,THAILAND
C7. ICT APPLICATIONS: E-AGRICULTURE,Animals Identification and Registration System,Abu Dhabi Food Control Authority,UNITED ARAB EMIRATES
C7. ICT APPLICATIONS: E-AGRICULTURE,Climate Change Adaptation and ICT,FHI 360,UNITED STATES OF AMERICA
C7. ICT APPLICATIONS: E-SCIENCE,E-Science-Net: Universities and Research Network for Science and Technology Development in the Information Society,University of Science and Technology,IRAN (ISLAMIC REPUBLIC OF)
C7. ICT APPLICATIONS: E-SCIENCE,histonano.com,Central Agency for Information Technology,KUWAIT
C7. ICT APPLICATIONS: E-SCIENCE,Connecting all Higher Learning Institutions and Secondary schools to Broadband via Wi Fi to promote Science and Technology,Rwanda Development Board,RWANDA
C7. ICT APPLICATIONS: E-SCIENCE,Research Project Management System,Majmaah University,SAUDI ARABIA
"C8. CULTURAL DIVERSITY AND IDENTITY, LINGUISTIC DIVERSITY AND LOCAL CONTENT",Youth Mobilization â€“ Cultural Heritage and Athletic Valorization,"South-West University ""Neofit Rilski""",BULGARIA
"C8. CULTURAL DIVERSITY AND IDENTITY, LINGUISTIC DIVERSITY AND LOCAL CONTENT",Centro de Relevo,Ministry of Information and Communication Technologies,COLOMBIA
"C8. CULTURAL DIVERSITY AND IDENTITY, LINGUISTIC DIVERSITY AND LOCAL CONTENT",Papalotero,Biblioteca Nacional de Cuba JosÃ© MartÃ_,CUBA
"C8. CULTURAL DIVERSITY AND IDENTITY, LINGUISTIC DIVERSITY AND LOCAL CONTENT",ISA I Speak Again - Free communicator for quadriplegic persons,Informatici Senza Frontiere Onlus,ITALY
"C8. CULTURAL DIVERSITY AND IDENTITY, LINGUISTIC DIVERSITY AND LOCAL CONTENT",From Graves to Cradles,Aureo Anello Associazione,ITALY
"C8. CULTURAL DIVERSITY AND IDENTITY, LINGUISTIC DIVERSITY AND LOCAL CONTENT",Project â€œThe Baltic Way Storiesâ€ù,Latvian National Commission for UNESCO ,LATVIA
"C8. CULTURAL DIVERSITY AND IDENTITY, LINGUISTIC DIVERSITY AND LOCAL CONTENT",Latvia's machine translation service Hugo.lv,Culture Information Systems Centre,LATVIA
"C8. CULTURAL DIVERSITY AND IDENTITY, LINGUISTIC DIVERSITY AND LOCAL CONTENT",Inclusive information access to social programs,Digital Government Unit of the Ministry of Public Administration,MEXICO
"C8. CULTURAL DIVERSITY AND IDENTITY, LINGUISTIC DIVERSITY AND LOCAL CONTENT",Arabic Domain Names Journey,Communications and Information Technology Commission (CITC)Communications and Information Technology Commission (CITC),SAUDI ARABIA
"C8. CULTURAL DIVERSITY AND IDENTITY, LINGUISTIC DIVERSITY AND LOCAL CONTENT",BEL ARABI,MOHAMMED BIN RASHID AL MAKTOUM FOUNDATION ,UNITED ARAB EMIRATES
C9. MEDIA,Radio to Improve Production and Marketing for Farmers in Need,Foreign Affairs; Trade and Development Canada,CANADA
C9. MEDIA,Sensoltre - Paintings and sculptures for visually impaired people,Informatici Senza Frontiere Onlus,ITALY
C9. MEDIA,Nabd - Personalized Arabic Newsreader,Central Agency for Information Technology,KUWAIT
C9. MEDIA,Internetowy Teatr TVP dla szkÃ_l / TVPâ€™s Internet Theatre for Schools,Telewizja Polska S.A.,POLAND
C9. MEDIA,Paint a Rainbow Project - Listen to youth voices of Sri Lanka,Shilpa Sayura Foundation,SRI LANKA
C10. ETHICAL DIMENSIONS OF THE INFORMATION SOCIETY,GSMA Mobile Alliance Against Child Sexual Abuse Content,GSMA,INTERNATIONAL
C10. ETHICAL DIMENSIONS OF THE INFORMATION SOCIETY,"Report it, don't ignore it!",INHOPE - the International Association of Internet Hotlines,INTERNATIONAL
C10. ETHICAL DIMENSIONS OF THE INFORMATION SOCIETY,SUPPORT TO ROMA PEOPLE,Public library â€œFran GaloviÄ‡â€ù in Koprivnica,CROATIA
C10. ETHICAL DIMENSIONS OF THE INFORMATION SOCIETY,VOILA' for Social Inclusion via WEB,De-LAB,ITALY
C10. ETHICAL DIMENSIONS OF THE INFORMATION SOCIETY,Kuwait Red Crescent Society Website,Central Agency for Information Technology,KUWAIT
C10. ETHICAL DIMENSIONS OF THE INFORMATION SOCIETY,Tackling Ethical Dimensions of Online Media Content through Self-Regulation,Rwanda Media Commission (RMC),RWANDA
C10. ETHICAL DIMENSIONS OF THE INFORMATION SOCIETY,Emerging trends and patterns #[1] - Youth-produced sexual content featuring young people online,Internet Watch Foundation,UNITED KINGDOM
